is_generator,own,entity,years,hour,offer,limit,taken,price
True,False,Wind (On+Offshore),1,184,0.0,28.401994409349708,0.0,100.0
True,False,Wind (On+Offshore),1,185,0.0,28.1147245101717,0.0,100.0
True,False,Wind (On+Offshore),1,186,0.0,28.56302233464221,0.0,100.0
True,False,Wind (On+Offshore),1,187,0.0,28.74381129336309,0.0,100.0
True,False,Wind (On+Offshore),1,188,0.0,29.13315264620013,0.0,100.0
True,False,Wind (On+Offshore),1,189,0.0,28.700206368359957,0.0,100.0
True,False,Wind (On+Offshore),1,190,0.0,27.241646124153743,0.0,100.0
True,False,Wind (On+Offshore),1,191,0.0,26.6235014007946,0.0,100.0
True,False,Wind (On+Offshore),1,192,0.0,27.49086378540765,0.0,100.0
True,False,Wind (On+Offshore),1,193,0.0,26.91518078677067,0.0,100.0
True,False,Wind (On+Offshore),1,194,0.0,26.20851969879841,0.0,100.0
True,False,Wind (On+Offshore),1,195,0.0,25.369084063906467,0.0,100.0
True,False,Wind (On+Offshore),1,196,0.0,24.512337110473958,0.0,100.0
True,False,Wind (On+Offshore),1,197,0.0,23.72075257305737,0.0,100.0
True,False,Wind (On+Offshore),1,198,0.0,24.016351502853947,0.0,100.0
True,False,Wind (On+Offshore),1,199,0.0,23.342843223030144,0.0,100.0
True,False,Wind (On+Offshore),1,200,0.0,21.993050319843004,0.0,100.0
True,False,Wind (On+Offshore),1,201,0.0,20.83172214869192,0.0,100.0
True,False,Wind (On+Offshore),1,202,0.0,20.06659453206376,0.0,100.0
True,False,Wind (On+Offshore),1,203,0.0,19.51148913848444,0.0,100.0
True,False,Wind (On+Offshore),1,204,0.0,19.5137755390464,0.0,100.0
True,False,Wind (On+Offshore),1,205,0.0,19.812150812382495,0.0,125.00000000000001
True,False,Wind (On+Offshore),1,206,0.0,20.02070320649865,0.0,125.0
True,False,Wind (On+Offshore),1,207,0.0,19.63985419860604,0.0,100.0
True,False,Wind (On+Offshore),1,208,0.0,18.41793641256295,0.0,100.0
True,False,Wind (On+Offshore),1,209,0.0,16.944024621726417,0.0,100.0
True,False,Wind (On+Offshore),1,210,0.0,16.12190030537505,0.0,100.0
True,False,Wind (On+Offshore),1,211,0.0,15.724883179222848,0.0,100.0
True,False,Wind (On+Offshore),1,212,0.0,15.729782608998482,0.0,100.0
True,False,Wind (On+Offshore),1,213,0.0,15.990922216039769,0.0,100.0
True,False,Wind (On+Offshore),1,214,0.0,16.24340616381077,0.0,100.0
True,False,Wind (On+Offshore),1,215,0.0,16.447875699780557,0.0,100.0
